               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.020428,           0.0064462,                   0,              0.7147,             0.56999,             0.61591,              0.3487,            0.021732,           0.0046649,                   0,             0.00784,             0.00784,             0.00784
                  50,            0.025786,           0.0086691,                   0,             0.42114,             0.56254,             0.50606,              0.2976,            0.023648,           0.0046153,                   0,            0.007795,            0.007795,            0.007795
                  51,            0.029471,            0.013943,                   0,             0.50156,             0.45455,             0.51111,             0.29308,            0.022169,           0.0047685,                   0,             0.00775,             0.00775,             0.00775
                  52,            0.019729,           0.0084221,                   0,             0.51016,             0.61586,             0.56036,             0.38396,            0.018445,           0.0047535,                   0,            0.007705,            0.007705,            0.007705
                  53,            0.028682,           0.0099202,                   0,             0.64392,             0.59091,             0.59267,             0.38256,            0.015743,           0.0047395,                   0,             0.00766,             0.00766,             0.00766
                  54,            0.022998,           0.0080939,                   0,             0.73109,             0.68182,             0.64445,             0.32137,            0.020868,           0.0043809,                   0,            0.007615,            0.007615,            0.007615
                  55,            0.034841,            0.016976,                   0,             0.74388,             0.66069,             0.70057,             0.42085,            0.019042,           0.0043477,                   0,             0.00757,             0.00757,             0.00757
                  56,            0.028082,            0.010231,                   0,             0.69059,             0.54545,             0.56833,             0.35728,            0.018752,           0.0044416,                   0,            0.007525,            0.007525,            0.007525
                  57,            0.021389,           0.0073722,                   0,             0.76719,             0.54545,             0.67922,              0.4557,            0.017408,           0.0043775,                   0,             0.00748,             0.00748,             0.00748
                  58,            0.025656,           0.0081084,                   0,             0.71599,             0.63636,             0.72734,             0.46551,            0.021387,           0.0043313,                   0,            0.007435,            0.007435,            0.007435
                  59,            0.022833,           0.0072237,                   0,             0.66755,             0.63636,             0.67598,             0.44086,            0.020272,           0.0046478,                   0,             0.00739,             0.00739,             0.00739
                  60,            0.023582,            0.008622,                   0,             0.73589,             0.63341,             0.66892,             0.34322,            0.022243,           0.0045986,                   0,            0.007345,            0.007345,            0.007345
                  61,            0.024765,           0.0079042,                   0,             0.70154,             0.63636,              0.6631,              0.4205,            0.017223,           0.0049023,                   0,              0.0073,              0.0073,              0.0073
                  62,            0.028171,           0.0097052,                   0,             0.75952,             0.63636,             0.67937,             0.40557,            0.019202,           0.0045537,                   0,            0.007255,            0.007255,            0.007255
                  63,            0.018394,            0.010275,                   0,             0.92456,             0.55775,             0.69193,              0.4617,            0.016895,           0.0045874,                   0,             0.00721,             0.00721,             0.00721
                  64,            0.023305,            0.011349,                   0,             0.74584,             0.53412,             0.66581,             0.40552,            0.020251,           0.0043687,                   0,            0.007165,            0.007165,            0.007165
                  65,             0.02588,           0.0097729,                   0,             0.77312,                 0.5,              0.6856,             0.45072,            0.018102,           0.0044746,                   0,             0.00712,             0.00712,             0.00712
                  66,            0.022285,           0.0079714,                   0,             0.72897,             0.59091,             0.68583,             0.39879,             0.02252,           0.0043741,                   0,            0.007075,            0.007075,            0.007075
                  67,            0.023338,           0.0065197,                   0,             0.64969,             0.54545,             0.67086,             0.42726,            0.019839,            0.004665,                   0,             0.00703,             0.00703,             0.00703
                  68,            0.025432,           0.0091014,                   0,             0.60811,             0.63636,             0.62646,              0.3969,            0.018981,           0.0046058,                   0,            0.006985,            0.006985,            0.006985
                  69,            0.019716,            0.006129,                   0,             0.56091,             0.52313,             0.61502,             0.39378,             0.01851,           0.0046582,                   0,             0.00694,             0.00694,             0.00694
                  70,            0.027739,            0.014811,                   0,             0.67827,                 0.5,              0.6175,             0.36324,            0.018897,           0.0047837,                   0,            0.006895,            0.006895,            0.006895
                  71,            0.018246,           0.0079855,                   0,             0.68435,                 0.5,             0.60631,             0.37434,            0.018094,           0.0049125,                   0,             0.00685,             0.00685,             0.00685
                  72,            0.027726,            0.014223,                   0,             0.64665,             0.45455,             0.57056,             0.34073,            0.017672,           0.0051989,                   0,            0.006805,            0.006805,            0.006805
                  73,            0.021354,           0.0070481,                   0,              0.5375,             0.54545,              0.5669,             0.33942,            0.018164,           0.0053847,                   0,             0.00676,             0.00676,             0.00676
                  74,            0.021435,           0.0081223,                   0,             0.64628,             0.59091,             0.61069,             0.33613,               0.019,           0.0052793,                   0,            0.006715,            0.006715,            0.006715
                  75,            0.022763,           0.0098227,                   0,             0.67553,             0.54545,             0.62714,             0.30456,            0.019246,           0.0051363,                   0,             0.00667,             0.00667,             0.00667
                  76,            0.025156,             0.01258,                   0,             0.69295,             0.54545,             0.59702,             0.30606,             0.01757,           0.0050608,                   0,            0.006625,            0.006625,            0.006625
                  77,            0.017655,           0.0068147,                   0,             0.68411,             0.54545,             0.57574,             0.30844,            0.016293,           0.0049383,                   0,             0.00658,             0.00658,             0.00658
                  78,            0.017202,           0.0086046,                   0,             0.52929,             0.63636,             0.58139,             0.31147,            0.017232,           0.0047942,                   0,            0.006535,            0.006535,            0.006535
                  79,            0.017934,           0.0057761,                   0,              0.6355,             0.59091,             0.63365,             0.40482,            0.015558,           0.0047751,                   0,             0.00649,             0.00649,             0.00649
                  80,            0.023344,             0.01291,                   0,             0.59249,             0.72727,             0.61276,             0.27465,            0.020659,           0.0046353,                   0,            0.006445,            0.006445,            0.006445
                  81,            0.020769,            0.006332,                   0,             0.68316,             0.68182,              0.6569,             0.36538,            0.017953,           0.0046932,                   0,              0.0064,              0.0064,              0.0064
                  82,            0.018872,           0.0068715,                   0,             0.70778,             0.66112,             0.66328,             0.38368,            0.015766,           0.0048079,                   0,            0.006355,            0.006355,            0.006355
                  83,             0.02286,           0.0061965,                   0,              0.7298,             0.61448,             0.64824,             0.36008,            0.016238,           0.0047246,                   0,             0.00631,             0.00631,             0.00631
                  84,            0.017305,           0.0057501,                   0,             0.71847,             0.58048,             0.65813,              0.4045,            0.016712,           0.0047092,                   0,            0.006265,            0.006265,            0.006265
                  85,            0.022144,           0.0086726,                   0,             0.61377,             0.68182,             0.65107,             0.41805,            0.016249,           0.0047036,                   0,             0.00622,             0.00622,             0.00622
                  86,            0.018542,           0.0050746,                   0,             0.65158,             0.59091,             0.60972,             0.31263,            0.018308,           0.0045153,                   0,            0.006175,            0.006175,            0.006175
